Media Source,Tweet,Created At,Tweets Ago,Compound,Positive,Neutral,Negative
@BBC,"Millions of seahorses are caught every year, threatening their global survival. 💔

https://t.co/CUYoiiYtXa",Thu Sep 27 11:03:03 +0000 2018,62,-0.7579,0.0,0.649,0.351
@BBC,"RT @BBCTwo: BBC Two just got a brand new look.

Check out some of our new Idents in all their glory…

More info here: https://t.co/5WJBbgGY…",Thu Sep 27 10:44:32 +0000 2018,63,0.0,0.0,1.0,0.0
@BBC,"We feel for Deirdre trying to answer some of these... it's unlikely Agony Aunt letters! ✉️😂 #MockTheWeek

https://t.co/iUev3YVy9v",Thu Sep 27 10:02:02 +0000 2018,64,-0.4753,0.0,0.846,0.154
@BBC,"Talk about an anticlimax!

When these rescue workers were called to save a drowning man, they got a HUGE surprise..… https://t.co/PAVPpirEj0",Thu Sep 27 09:04:05 +0000 2018,65,0.8697,0.38,0.62,0.0
@BBC,"""It was probably the end of the night and I was definitely ready for my bed."" 😂

When a photo of you in a nightclub… https://t.co/asnG7gQrC9",Thu Sep 27 08:04:04 +0000 2018,66,0.7964,0.265,0.678,0.056
@BBC,"Up, up and away! These enormous kites took to the sky at a festival in Germany. 🌬  https://t.co/HSIAQAQQE9 https://t.co/iIWX5ERx8I",Thu Sep 27 07:32:04 +0000 2018,67,0.5411,0.162,0.838,0.0
@BBC,"So cute! 😍🐣 Meet Germany's 'Papa Goose'... 

https://t.co/3NtLqZQcnm",Thu Sep 27 07:04:02 +0000 2018,68,0.5551,0.339,0.661,0.0
@BBC,The 14th Century house used as the birthplace of Harry Potter is still up for sale. ⚡️📖  https://t.co/dcspAsDKrg https://t.co/NEOGYEkwBr,Wed Sep 26 20:03:06 +0000 2018,69,0.0,0.0,1.0,0.0
@BBC,"📬Do not post crisp packets to Walkers, says Royal Mail ➡️

https://t.co/3JbgtRfiBQ https://t.co/VWRXGKC9nJ",Wed Sep 26 19:07:05 +0000 2018,70,0.0,0.0,1.0,0.0
@BBC,"Did the Duchess of Sussex break protocol when she closed her car door? 

https://t.co/o2n2k0msfU https://t.co/qYmnjcI0ZM",Wed Sep 26 16:02:05 +0000 2018,71,0.0,0.0,1.0,0.0
@BBC,"This puffer fish creates something absolutely breathtaking. 🐡😲 #LifeStory 

https://t.co/mxU7VERaCI",Wed Sep 26 15:03:05 +0000 2018,72,0.659,0.403,0.597,0.0
